,DateTime,co2(ppm),humidity(%RH),barometric_pressure(hPa),Temperature [°C],hour,day,month,year
274,2023-07-01 10:41:40.059,475,64.0,1005.5,27.7,10,1,7,2023
275,2023-07-01 10:51:40.022,474,62.0,1005.4,27.9,10,1,7,2023
276,2023-07-01 11:01:40.016,481,61.0,1005.2,28.4,11,1,7,2023
277,2023-07-01 11:11:39.968,477,60.0,1005.0,28.9,11,1,7,2023
278,2023-07-01 11:21:39.940,455,59.0,1004.9,29.7,11,1,7,2023
279,2023-07-01 11:31:39.929,473,58.0,1004.7,29.4,11,1,7,2023
280,2023-07-01 11:41:39.885,456,57.0,1004.6,29.2,11,1,7,2023
281,2023-07-01 11:51:39.873,485,58.5,1004.5,30.1,11,1,7,2023
282,2023-07-01 12:01:39.844,460,57.5,1004.4,29.0,12,1,7,2023
283,2023-07-01 12:11:39.800,470,59.0,1004.3,29.0,12,1,7,2023
284,2023-07-01 12:21:39.790,479,54.5,1004.3,29.6,12,1,7,2023
285,2023-07-01 12:31:39.768,490,54.0,1004.1,30.3,12,1,7,2023
286,2023-07-01 12:41:39.722,466,51.5,1004.1,30.3,12,1,7,2023
287,2023-07-01 12:51:39.704,464,54.0,1003.9,30.1,12,1,7,2023
288,2023-07-01 13:01:39.640,466,55.5,1003.9,30.1,13,1,7,2023
289,2023-07-01 13:11:39.633,479,48.5,1003.8,30.5,13,1,7,2023
290,2023-07-01 13:21:39.631,461,51.0,1003.7,29.7,13,1,7,2023
291,2023-07-01 13:31:39.591,453,51.0,1003.7,30.8,13,1,7,2023
292,2023-07-01 13:41:39.575,458,49.5,1003.6,31.7,13,1,7,2023
293,2023-07-01 13:51:39.534,455,46.5,1003.5,32.0,13,1,7,2023
294,2023-07-01 14:01:41.226,459,48.5,1003.5,32.1,14,1,7,2023
295,2023-07-01 14:11:41.192,451,45.5,1003.3,32.5,14,1,7,2023
296,2023-07-01 14:21:39.471,448,45.0,1003.2,32.7,14,1,7,2023
297,2023-07-01 14:31:39.443,457,47.5,1003.2,31.2,14,1,7,2023
298,2023-07-01 14:41:39.399,469,47.5,1003.1,31.8,14,1,7,2023
299,2023-07-01 14:51:39.370,462,45.0,1003.0,32.5,14,1,7,2023
300,2023-07-01 15:01:39.355,456,47.0,1002.8,32.4,15,1,7,2023
301,2023-07-01 15:11:39.316,453,47.0,1002.6,32.4,15,1,7,2023
302,2023-07-01 15:21:39.338,443,46.5,1002.7,32.9,15,1,7,2023
303,2023-07-01 15:31:40.985,485,44.0,1002.7,32.8,15,1,7,2023
304,2023-07-01 15:41:39.255,437,42.5,1002.7,33.2,15,1,7,2023
305,2023-07-01 15:51:39.199,442,43.0,1002.6,32.9,15,1,7,2023
306,2023-07-01 16:01:39.200,440,46.5,1002.5,32.9,16,1,7,2023
307,2023-07-01 16:11:39.162,455,46.5,1002.5,32.8,16,1,7,2023
308,2023-07-01 16:21:39.130,464,44.5,1002.4,32.4,16,1,7,2023
309,2023-07-01 16:31:39.118,459,42.5,1002.3,32.4,16,1,7,2023
310,2023-07-01 16:41:39.082,468,43.0,1002.3,32.8,16,1,7,2023
311,2023-07-01 16:51:39.036,455,41.5,1002.3,33.0,16,1,7,2023
312,2023-07-01 17:01:39.030,440,44.5,1002.2,31.1,17,1,7,2023
313,2023-07-01 17:11:39.001,464,44.5,1002.3,32.1,17,1,7,2023
314,2023-07-01 17:21:38.971,469,44.5,1002.3,32.2,17,1,7,2023
