id,DateTime,Water_Sensor_name(Identifier),line_number,Water_volume_in_m3
35065,2023-07-01 13:49:55.044,TalkPool_OY1310_1,1,154
35075,2023-07-01 13:59:54.360,TalkPool_OY1310_1,1,154
35085,2023-07-01 14:09:55.088,TalkPool_OY1310_1,1,154
35096,2023-07-01 14:19:55.214,TalkPool_OY1310_1,1,154
35106,2023-07-01 14:29:55.009,TalkPool_OY1310_1,1,154
35116,2023-07-01 14:39:55.708,TalkPool_OY1310_1,1,154
35126,2023-07-01 14:49:55.833,TalkPool_OY1310_1,1,154
35136,2023-07-01 14:59:55.258,TalkPool_OY1310_1,1,154
35146,2023-07-01 15:09:56.048,TalkPool_OY1310_1,1,154
35156,2023-07-01 15:19:56.005,TalkPool_OY1310_1,1,154
35166,2023-07-01 15:29:56.721,TalkPool_OY1310_1,1,154
35176,2023-07-01 15:39:56.233,TalkPool_OY1310_1,1,154
35186,2023-07-01 15:49:56.890,TalkPool_OY1310_1,1,154
35196,2023-07-01 15:59:57.217,TalkPool_OY1310_1,1,154
35206,2023-07-01 16:09:57.279,TalkPool_OY1310_1,1,154
35216,2023-07-01 16:19:57.958,TalkPool_OY1310_1,1,154
35226,2023-07-01 16:29:57.654,TalkPool_OY1310_1,1,154
35236,2023-07-01 16:39:57.857,TalkPool_OY1310_1,1,154
35246,2023-07-01 16:49:57.327,TalkPool_OY1310_1,1,154
35256,2023-07-01 16:59:57.486,TalkPool_OY1310_1,1,154
35266,2023-07-01 17:09:58.204,TalkPool_OY1310_1,1,154
35276,2023-07-01 17:19:59.213,TalkPool_OY1310_1,1,154
35286,2023-07-01 17:29:59.881,TalkPool_OY1310_1,1,154
35296,2023-07-01 17:40:00.561,TalkPool_OY1310_1,1,154
35306,2023-07-01 17:50:00.189,TalkPool_OY1310_1,1,154
